0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	14	14	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0
0	0	0	0	14	14	14	14	0	14	14	14	14	0	14	14	14	14	0	14	14	14	14	0	14	14	14	14	0	0	0	0
0	14	14	14	14	1	1	14	14	14	1	1	14	14	14	1	1	14	14	14	1	1	14	14	14	1	1	14	14	14	14	0
0	14	0	0	14	1	1	1	14	1	1	1	1	14	1	1	1	1	14	1	1	1	1	14	1	1	1	14	0	0	14	0
0	14	14	14	0	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	0	14	14	14	0
0	14	14	14	14	0	0	14	14	14	14	0	0	14	14	1	1	14	14	0	0	14	14	14	14	0	0	14	14	14	14	0
0	14	14	2	14	14	14	14	2	14	0	0	14	14	1	1	1	1	14	14	0	0	14	2	14	14	14	14	2	14	14	0
0	14	14	2	14	0	0	14	2	14	0	14	14	1	1	0	0	1	1	14	14	0	14	2	14	0	0	14	2	14	14	0
0	14	14	2	14	0	0	14	2	14	0	14	1	1	0	0	0	0	1	1	14	0	14	2	14	0	0	14	2	14	14	0
0	14	14	2	14	14	14	14	2	14	14	14	1	0	0	0	0	0	0	1	14	14	14	2	14	14	14	14	2	14	14	0
0	14	14	2	14	0	0	14	2	14	0	14	1	0	0	1	1	0	0	1	14	0	14	2	14	0	0	14	2	14	14	0
0	14	2	2	2	14	14	2	2	2	14	14	1	0	0	1	1	0	0	1	14	14	2	2	2	14	14	2	2	2	14	0
0	14	14	2	14	0	0	14	2	14	0	14	1	0	0	1	1	0	0	1	14	0	14	2	14	0	0	14	2	14	14	0
0	14	14	2	14	14	14	14	2	14	14	14	1	0	0	1	1	0	0	1	14	14	14	2	14	14	14	14	2	14	14	0
0	14	14	2	14	0	0	14	2	14	0	14	1	0	0	1	1	0	0	1	14	0	14	2	14	0	0	14	2	14	14	0
0	14	14	2	14	0	0	14	2	14	0	14	1	0	0	1	1	0	0	1	14	0	14	2	14	0	0	14	2	14	14	0
0	14	14	2	14	14	14	14	2	14	14	14	1	0	0	1	1	0	0	1	14	14	14	2	14	14	14	14	2	14	14	0
